name,bib ,checkpoint,time,dogs,status,year,route
Richie Beattie (r),50,Nome,3/14 22:01:31,9,Withdrawn,2019,southern
Cindy Gallea,53,Safety,3/18 0:00:00,7,Scratched,2019,southern
Nicolas Petit,20,Shaktoolik,3/10 19:57:00,10,Scratched,2019,southern
Ryan Redington,22,Shaktoolik,3/11 11:44:00,9,Scratched,2019,southern
Brett Bruggeman,35,Shaktoolik,3/12 0:36:00,11,Scratched,2019,southern
Lev Shvarts,13,Unalakleet,3/11 16:08:00,7,Scratched,2019,southern
Sebastien Dos Santos Borges (r),46,Unalakleet,3/13 17:25:00,11,Scratched,2019,southern
Robert Redington,34,Kaltag,3/10 17:22:00,8,Scratched,2019,southern
Niklas Wikstrand (r),42,Kaltag,3/11 14:35:00,13,Scratched,2019,southern
Emily Maxwell,18,Iditarod,3/9 12:00:00,9,Scratched,2019,southern
Marcelle Fressineau,27,Iditarod,3/9 12:03:00,11,Scratched,2019,southern
Cindy Abbott,16,Iditarod,3/9 15:04:00,14,Scratched,2019,southern
Shaynee Traska,7,Nikolai,3/6 1:44:00,10,Scratched,2019,southern
Jim Lanier,32,Safety,3/16 11:30:00,13,Scratched,2018,southern
Scott Janssen,23,Safety,3/16 11:30:00,11,Scratched,2018,southern
Wade Marrs,11,Koyuk,3/12 22:25:00,9,Scratched,2018,southern
Alan Eischens,53,Koyuk,3/14 20:45:00,14,Scratched,2018,southern
Marcelle Fressineau,35,Shaktoolik,3/15 5:24:00,12,Scratched,2018,southern
Steve Watkins,59,Unalakleet,3/15 18:22:00,12,Withdrawn,2018,southern
Tara Cicatello (r),44,Unalakleet,3/15 18:30:00,13,Withdrawn,2018,southern
Ryan Redington,7,Kaltag,3/11 14:50:00 *,11,Scratched,2018,southern
Rob Cooke,10,Kaltag,3/13 1:48:00,13,Scratched,2018,southern
Allen Moore,26,Kaltag,3/13 14:26:00,13,Scratched,2018,southern
Tom Schonberger (r),25,Grayling,3/12 11:35:00,11,Scratched,2018,southern
Robert Redington,34,Shageluk,3/9 13:24:00,12,Scratched,2018,southern
Scott White,62,Takotna,3/9 0:35:00,12,Scratched,2018,southern
DeeDee Jonrowe,39,Rainy Pass,3/5 16:41:00,16,Scratched,2018,southern
Zoya DeNure,47,Skwentna,3/5 3:05:00,15,Scratched,2018,southern
Matthew Failor,29,White Mountain,3/19 2:48:00,7,Scratched,2020,northern
Sean Underwood (r),46,White Mountain,3/19 1:59:00,11,Scratched,2020,northern
Tom Knolmayer,30,White Mountain,3/19 2:19:00,11,Scratched,2020,northern
Jason Campeau,19,White Mountain,3/18 16:06:00,9,Scratched,2020,northern
Nicolas Petit,21,Elim,3/17 10:11:00,12,Scratched,2020,northern
Robert Redington,28,Elim,3/17 22:33:00,8,Scratched,2020,northern
Robert Bundtzen,54,Elim,3/19 16:49:00,14,Scratched,2020,northern
Aaron Peck,36,Unalakleet,3/15 19:51:00,11,Scratched,2020,northern
Karin Hendrickson,15,Unalakleet,3/17 13:09:00,10,Scratched,2020,northern
Richie Diehl,16,Unalakleet,3/16 1:24:00,11,Scratched,2020,northern
Anna Berington,18,Unalakleet,3/16 17:13:00,9,Scratched,2020,northern
Kristy Berington,4,Unalakleet,3/16 17:13:00,11,Scratched,2020,northern
John Schandelmeier,42,Unalakleet,3/17 17:10:00,13,Scratched,2020,northern
Gabe Dunham (r),17,Unalakleet,3/17 18:04:00,12,Scratched,2020,northern
Meredith Mapes,13,Unalakleet,3/18 0:10:00,7,Scratched,2020,northern
Quince Mountain (r),50,Unalakleet,3/18 10:23:00,14,Withdrawn,2020,northern
Larry Daugherty,45,Kaltag,3/17 0:42:00,13,Scratched,2020,northern
Linwood Fiedler,8,Galena,3/14 5:42:00,14,Scratched,2020,northern
Martin Massicotte (r),2,Galena,3/14 8:07:00,9,Scratched,2020,northern
Nils Hahn,56,McGrath,3/12 4:30:00,13,Scratched,2020,northern
Alan Eischens,49,McGrath,3/13 1:43:00,11,Scratched,2020,northern
Jeremy Keller,47,Nikolai,3/11 16:36:00,12,Scratched,2020,northern
Jim Lanier,55,Rainy Pass,3/9 23:44:00,14,Scratched,2020,northern
Monica Zappa,58,Shaktoolik,3/15 2:18:00,9,Scratched,2017,fairbanks
Roger Lee (r),10,Shaktoolik,3/16 12:30:00,9,Scratched,2017,fairbanks
Dave Branholm,60,Kaltag,3/13 2:14:00,13,Scratched,2017,fairbanks
Ellen Halverson,30,Koyukuk,3/14 8:41:00,11,Scratched,2017,fairbanks
Ryan Anderson (r),8,Galena,3/11 12:21:00,10,Scratched,2017,fairbanks
Mark Selland,23,Ruby,3/9 21:10:00,14,Scratched,2017,fairbanks
Mark May,68,Tanana,3/8 11:35:00,16,Scratched,2017,fairbanks
Otto Balogh (r),3,Fairbanks,3/6 9:02:00,16,Scratched,2017,fairbanks
Billy Snodgrass,80,Unalakleet,3/16 15:19:00,11,Scratched,2016,northern
Ellen Halverson,29,Unalakleet,3/17 11:40:00,9,Withdrawn,2016,northern
Cim Smyth,10,Kaltag,3/13 16:48:00,6,Scratched,2016,northern
Jim Lanier,51,Kaltag,3/14 8:41:00,12,Scratched,2016,northern
Robert Redington (r),57,Galena,3/12 19:30:00,9,Scratched,2016,northern
Lance Mackey,72,Galena,3/13 12:21:00,15,Scratched,2016,northern
Ryan Redington,60,Ruby,3/12 4:53:00,11,Scratched,2016,northern
Rick Casillo,20,Ruby,3/11 13:39:00,11,Scratched,2016,northern
Scott Janssen,2,Cripple,3/11 21:49:00,13,Scratched,2016,northern
Charley Bejna,9,McGrath,3/10 5:43:00,11,Scratched,2016,northern
Hans Gatt,84,Nikolai,3/8 19:41:00,13,Scratched,2016,northern
Zoya DeNure,74,Rainy Pass,3/8 9:50:00,11,Scratched,2016,northern
Jan Steves,25,Skwentna,3/7 3:12:00,16,Scratched,2016,northern
Martin Koenig,86,Skwentna,3/7 6:57:00,16,Scratched,2016,northern
Scott Janssen,20,Koyuk,3/19 14:30:00,11,Scratched,2015,fairbanks
Bryan Bearss,48,Shaktoolik,3/17 17:22:00,10,Scratched,2015,fairbanks
Katherine Keith,74,Unalakleet,3/17 5:16:00,9,Scratched,2015,fairbanks
