year,number_finished,number_scratched_withdrawn,total_mushers,percent_scratch_withdrawn,number_scratched,percent_scratched
2006,71,12,83,0.1445783133,11,0.1325301205
2007,68,24,92,0.2608695652,23,0.25
2008,78,18,96,0.1875,17,0.1770833333
2009,52,15,67,0.223880597,14,0.2089552239
2010,55,16,71,0.2253521127,16,0.2253521127
2011,47,15,62,0.2419354839,14,0.2258064516
2012,52,14,66,0.2121212121,12,0.1818181818
2013,54,12,66,0.1818181818,11,0.1666666667
2014,49,20,69,0.2898550725,19,0.2753623188
2015,66,12,78,0.1538461538,11,0.141025641
2016,71,14,85,0.1647058824,13,0.1529411765
2017,64,8,72,0.1111111111,8,0.1111111111
2018,52,15,67,0.223880597,13,0.1940298507
2019,39,13,52,0.25,12,0.2307692308
2020,34,23,57,0.4035087719,22,0.3859649123
