Year,Scratches,Percent Scratched,Race Field
1974,18,40.91%,44
1980,24,40%,60
1975,16,39.02%,41
2020,22,38.6%,57
1973,12,35.29%,34
2003,20,31.25%,64
1985,19,31.15%,61
1984,20,29.85%,67
1981,15,28.3%,53
1976,13,27.66%,47
2014,19,27.54%,69
2007,23,25%,92
1986,18,24.66%,73
1977,11,23.4%,47
2019,12,23.08%,52
2011,14,22.58%,62
2010,16,22.54%,71
1989,11,22.45%,49
2009,14,20.9%,67
2005,16,20.25%,79
1991,15,19.74%,76
2018,13,19.4%,67
1998,12,19.05%,63
2012,12,18.18%,66
2008,17,17.71%,96
1993,12,17.65%,68
1992,13,17.11%,76
1997,9,16.98%,53
2013,11,16.67%,66
1999,9,16.07%,56
1987,10,15.87%,63
2016,13,15.29%,85
1995,9,15.25%,59
1982,8,14.81%,54
2000,12,14.81%,81
1983,10,14.71%,68
1979,8,14.55%,55
2015,11,14.1%,78
2002,9,14.06%,64
1994,8,13.79%,58
2006,11,13.25%,83
2001,9,13.24%,68
1978,5,12.82%,39
1996,7,11.67%,60
1988,6,11.54%,52
2004,10,11.49%,87
1990,8,11.43%,70
2017,8,11.11%,72
